,x_m,y_m,c
71,0.167727585,0.2,0.0
72,0.168306961,0.2,0.0
73,0.168841995,0.2,0.0
74,0.169359528,0.2,0.0
75,0.169893341,0.2,0.0
76,0.170181946,0.2,0.0
77,0.170804932,0.2,0.0
78,0.1711179809999999,0.2,0.0
79,0.171412292,0.2,0.0
80,0.171406967,0.2,0.0
81,0.17164061,0.2,0.0
82,0.171867386,0.2,0.0
83,0.172048035,0.2,0.0
84,0.172319534,0.2,0.0
85,0.1724233859999999,0.2,0.0
86,0.172361252,0.2,0.0
87,0.172387558,0.2,0.0
88,0.172368637,0.2,0.0
89,0.172327209,0.2,0.0
90,0.1723617549999999,0.2,0.0
91,0.172237198,0.2,0.0
92,0.172033936,0.2,0.0
93,0.171829605,0.2,0.0
94,0.17157605,0.2,0.0
95,0.17129335,0.2,0.0
96,0.170845795,0.2,0.0
97,0.170538589,0.2,0.0
98,0.17020311,0.2,0.0
99,0.169836868,0.2,0.0
100,0.1696131589999999,0.2,0.0
101,0.169208817,0.2,0.0
102,0.168800385,0.2,0.0
103,0.168382156,0.2,0.0
104,0.167814865,0.2,0.0
105,0.167426666,0.2,0.0
106,0.167011429,0.2,0.0
107,0.166700623,0.2,0.0
108,0.166269638,0.2,0.0
109,0.165911499,0.2,0.0
110,0.165296219,0.2,0.0
111,0.1648904269999999,0.2,0.0
112,0.164455856,0.2,0.0
113,0.164022217,0.2,0.0
114,0.163701614,0.2,0.0
115,0.163241867,0.2,0.0
116,0.162701019,0.2,0.0
117,0.1622612,0.2,0.0
118,0.161905151,0.2,0.0
119,0.161465057,0.2,0.0
120,0.161071411,0.2,0.0
121,0.160696335,0.2,0.0
122,0.160317368,0.2,0.0
123,0.160081085,0.2,0.0
124,0.159600403,0.2,0.0
125,0.159407944,0.2,0.0
126,0.1590795589999999,0.2,0.0
127,0.158768845,0.2,0.0
128,0.158475861,0.2,0.0
129,0.158092239,0.2,0.0
130,0.157821503,0.2,0.0
131,0.157591492,0.2,0.0
132,0.157370743,0.2,0.0
133,0.157150238,0.2,0.0
134,0.156930679,0.2,0.0
135,0.1567277829999999,0.2,0.0
136,0.156549042,0.2,0.0
137,0.156363144,0.2,0.0
138,0.156189865,0.2,0.0
139,0.156014175,0.2,0.0
140,0.155839203,0.2,0.0
141,0.155686844,0.2,0.0
142,0.155518814,0.2,0.0
143,0.1553983609999999,0.2,0.0
144,0.155325134,0.2,0.0
145,0.155253815,0.2,0.0
146,0.1553233799999999,0.2,0.0
147,0.155238525,0.2,0.0
148,0.1553909449999999,0.2,0.0
149,0.15549823,0.2,0.0
150,0.155639191,0.2,0.0
151,0.155814804,0.2,0.0
152,0.156121475,0.2,0.0
153,0.156444458,0.2,0.0
154,0.156568207,0.2,0.0
155,0.1569339139999999,0.2,0.0
156,0.157348846,0.2,0.0
157,0.157782776,0.2,0.0
158,0.15815979,0.2,0.0
159,0.1586808619999999,0.2,0.0
160,0.159473221,0.2,0.0
161,0.160119095,0.2,0.0
162,0.160676773,0.2,0.0
163,0.161406647,0.2,0.0
164,0.162335983,0.2,0.0
165,0.162965118,0.2,0.0
166,0.163876953,0.2,0.0
167,0.1649966279999999,0.2,0.0
168,0.166102188,0.2,0.0
169,0.167440979,0.2,0.0
170,0.1686814579999999,0.2,0.0
171,0.170227676,0.2,0.0
172,0.1716009369999999,0.2,0.0
173,0.173381699,0.2,0.0
174,0.175179169,0.2,0.0
175,0.177333206,0.2,0.0
176,0.179769089,0.2,0.0
177,0.182189941,0.2,0.0
178,0.184646713,0.2,0.0
179,0.187211761,0.2,0.0
180,0.190065155,0.2,0.0
181,0.193207901,0.2,0.0
182,0.196256119,0.2,0.0
183,0.199735443,0.2,0.0
184,0.2034690699999999,0.2,0.0
185,0.20721756,0.2,0.0
186,0.211016174,0.2,0.0
187,0.215115631,0.2,0.0
188,0.2193833009999999,0.2,0.0
189,0.2239654999999999,0.2,0.0
190,0.228799896,0.2,0.0
191,0.233607758,0.2,0.0
192,0.238576569,0.2,0.0
