,x_m,y_m,curvature,vel_5,Tvec_5,vel_8,Tvec_8,vel_10,Tvec_10,vel_12,Tvec_12,vel_15,Tvec_15
544,126.66066510626763,-83.16222724043406,0.004595080734502895,4.9997432707691605,51.33955590234101,7.007516379063973,41.68452913766182,6.975772055812265,40.33063318962566,6.97563279589737,40.13806976861503,6.976013871467379,40.13752093674717
545,126.28242732369922,-83.23487455537045,0.003940640150597739,4.999742939654714,51.416590104300425,6.9253471156941,41.74014385284132,6.898076524914389,40.38646776953939,6.897991080711645,40.193904953665246,6.898256955338642,40.19335405618449
546,125.90426686390767,-83.30810577917566,0.0034226832091687016,4.999742602234481,51.49363124201817,6.841829890842004,41.79644251336306,6.817867264158432,40.44296430169425,6.8178087842259325,40.25040188445723,6.8180100727395425,40.24984940493733
547,125.52617785361106,-83.38183959663243,0.0028701040447294116,4.999742257899664,51.57067753331326,6.75705544297273,41.85345130982086,6.73570003714123,40.50015384332229,6.735657100034838,40.30759170520987,6.735817050919521,40.30703795305326
548,125.14815433270805,-83.45599483167226,0.0023274366058560502,4.9997419064840445,51.647727154451275,6.671047218734272,41.91119759867947,6.651832698671187,40.55806693835529,6.651799575302484,40.3655050037225,6.651930754012006,40.36495019438169
549,124.77019004448694,-83.5304903574435,0.0017817512769364296,4.999741547980274,51.72477828815167,6.583798509834269,41.9697102876546,6.566392906051288,40.61673472745792,6.566366395763668,40.424172945301855,6.566476358358461,40.42361723787507
550,124.39227902200682,-83.60524492821266,0.0012374500202251995,4.999741182007024,51.80182901219971,6.495286176680131,42.02902001899632,6.479441564913062,40.67618949281995,6.47941973753312,40.48362782707674,6.47951338501949,40.48307134422297
551,124.01441530125801,-83.68017732810264,0.0006928291541488103,4.999740808422598,51.87887737166056,6.405476378464296,42.08915946909461,6.391000841390071,40.736465157998644,6.390982464147792,40.54390358219172,6.39106316054055,40.54334642164988
552,123.6365928216406,-83.75520638086367,0.00014916921673659554,4.999740427184853,51.95592140897516,6.314327236644767,42.150163622601234,6.301068019856439,40.79759768136079,6.30105226928155,40.60503617544377,6.30112242732124,40.604478417155654
553,123.25880532741998,-83.83025096959625,0.0003976920672044388,4.999740038341154,52.0329591942351,6.221790064314332,42.21207006679941,6.209622855510259,40.85962542576892,6.209609161329364,40.66706397416195,6.209670573200933,40.66650568491419
554,122.88104694433714,-83.90522976913095,0.0009392072852289408,4.999739641573737,52.109988711812534,6.127810029475618,42.27491919736166,6.116631816130184,40.92258941381387,6.116619771537254,40.73002800412798,6.116673807011457,40.729469240710266
555,122.50331162840259,-83.98006177240455,0.0014896193964938776,4.999739237027566,52.18700799916257,6.032326082643732,42.33875466442632,6.022050212743181,40.9865338080526,6.022039520273901,40.793972430230916,6.022087251302799,40.793413241660545
556,122.12559329165803,-84.05466552450709,0.0020306588978551685,4.999738824694466,52.26401510254333,5.935270820634998,42.40362371862541,5.9258234807343,41.051506280784764,5.9258139182813645,40.858944926505764,5.9258562005554705,40.85838535564379
557,121.74788589793067,-84.1289600979925,0.0025824340030077293,4.999738404663946,52.3410081063006,5.836570047710591,42.469577673538815,5.827887686197004,41.11755849360669,5.827879084935049,40.92499715585818,5.827916613108986,40.92443724061411
558,121.37018336805595,-84.20286412752014,0.0031225804325382698,4.9997379769967125,52.41798512425245,5.736142201722857,42.53667240488879,5.728169602165909,41.18474660895952,5.728161831787445,40.99218528172673,5.728195177977869,40.991625055978105
559,120.99247965022774,-84.27629652640964,0.0036921390042598907,4.999737541834116,52.49494432381118,5.633897562225438,42.60496896068759,5.626586375843247,41.2531319093009,5.626579334430717,41.06057058733265,5.626608975736371,41.06001008164186
560,120.6147687706655,-84.34917597926236,0.004169760129740377,4.999737099255086,52.57188390678706,5.529737330660568,42.67453423375631,5.523044940883974,41.32278147607284,5.523038547806923,41.130220154702215,5.523064886416164,41.129659396886765
561,120.23704457901864,-84.42142141912089,0.004983467646594982,4.999736649609403,52.64880218785096,5.4235523692969965,42.74544184608753,5.4174410015001895,41.39376907865957,5.4174351923361534,41.20120775366299,5.4174585705037135,41.20064676925793
562,119.85929861196864,-84.49297632246235,0.0035897303722435014,4.9997361979497805,52.72569892856351,5.315219876431707,42.817774398076516,5.309655890472399,41.466177427895175,5.309650613314705,41.27361609538002,5.309671324709663,41.27305490801553
563,119.48149955538923,-84.5640211825841,0.0014039085923681662,4.999735789914872,52.802587189949406,5.204584027233391,42.891636399393796,5.199537333637802,41.540111119991835,5.1995325463599285,41.34754977631384,5.199550844854156,41.34698840799269
564,119.10360292751479,-84.63486847087592,0.0005914735540084409,4.999735297831785,52.87948734670361,5.0914606662020985,42.967151158976456,5.08690425976787,41.61569351912794,5.086899927977143,41.42313216081492,5.086916034508767,41.4225706321772
565,118.72556419800755,-84.7058322109005,0.002617782802146409,4.975956064906147,52.9567873790646,4.975644458466366,43.044456032356145,4.971554051475038,41.6930619960385,4.971550146975208,41.50050061971573,4.971564254927537,41.49993895029947
566,118.34733892628046,-84.77722631692814,0.004677807402688921,4.85735826158005,53.0360289090956,4.856905107051755,43.12370495570807,4.853258837736083,41.77237045936655,4.853255337365006,41.579809061686554,4.8532676168180595,41.57924727016624
