Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
188,0,-0.089734,-0.04366,0.744629,-3103.242188,-342.869415,128.412384
189,,,,,,,
190,0,-0.966161,-0.356526,0.778381,-3038.696045,-278.216797,121.461136
191,0,-0.948296,-0.341387,0.764968,-3003.908936,-251.989014,122.599777
192,0,-0.970782,-0.341175,0.745048,-2973.958008,-224.500351,120.890457
193,0,-0.136129,-0.075379,0.672232,-2935.889893,-209.650665,127.341347
194,0,-0.139345,-0.073151,0.658409,-2902.275635,-184.573883,127.242714
195,0,-0.144194,-0.074735,0.642667,-2867.658936,-159.541946,127.845467
196,0,-0.151305,-0.06191,0.633182,-2835.629395,-135.22821,125.755814
197,0,-0.150459,-0.063641,0.617794,-2800.90625,-111.335167,125.897598
198,0,-0.146244,-0.063058,0.59962,-2765.508789,-88.894981,125.830307
199,0,-0.091467,-0.028263,0.567613,-2730.988281,-65.828941,129.671585
200,0,-0.08454,-0.024966,0.553142,-2695.197021,-44.745354,128.96196
201,0,-0.079475,-0.023332,0.53845,-2659.033447,-23.879292,129.132187
202,0,-0.076935,-0.022132,0.523512,-2622.357422,-3.467258,129.307693
203,0,-0.071388,-0.027698,0.511647,-2585.481445,15.79186,129.234344
204,0,-0.074623,-0.032575,0.496551,-2548.561768,35.127277,129.726074
205,0,-0.076281,-0.029382,0.481479,-2511.269287,54.0401,129.933044
206,0,-0.073404,-0.025288,0.465029,-2473.898682,72.430069,130.39267
207,0,-0.07149,-0.026243,0.452418,-2435.754639,89.777557,130.204605
208,0,-0.065478,-0.022456,0.440026,-2398.028564,106.354706,130.180771
209,0,-0.069561,-0.019099,0.424607,-2359.748779,122.739204,130.060318
210,0,-0.076976,-0.01959,0.409985,-2321.499023,138.504166,130.725891
211,0,-0.069715,-0.018118,0.396602,-2283.038818,153.143936,130.647324
212,0,-0.074399,-0.018895,0.382081,-2244.442627,167.86586,130.676178
213,0,-0.075708,-0.017512,0.367412,-2205.397461,182.035065,130.704239
214,0,-0.076188,-0.017232,0.353743,-2166.133301,195.536301,130.635895
215,0,-0.074696,-0.011884,0.338246,-2126.892334,208.661575,131.084564
216,0,-0.073013,-0.011752,0.325494,-2087.370605,220.843445,131.09581
217,0,-0.076566,-0.014179,0.312432,-2047.697021,232.935974,130.933868
218,0,-0.072301,-0.014651,0.299722,-2008.005859,243.946991,130.858719
219,0,-0.065581,-0.016113,0.285754,-1968.013428,254.566605,130.85672
220,0,-0.071058,-0.015284,0.275372,-1927.588257,265.579681,130.125671
221,0,-0.076923,-0.013338,0.264249,-1886.861938,276.05249,130.312088
222,0,-0.084012,-0.014238,0.253913,-1846.117798,286.292572,130.206207
223,0,-0.085987,-0.012885,0.242694,-1804.542358,295.731812,129.721954
224,0,-0.089024,-0.010698,0.231892,-1762.801025,305.034271,129.599442
225,0,-0.079872,-0.01075,0.220743,-1720.902344,312.889465,129.169846
226,0,-0.078024,-0.010315,0.209302,-1678.617432,321.162506,129.066406
227,0,-0.080846,-0.014103,0.196461,-1636.162476,329.329315,128.686432
228,0,-0.079676,-0.016077,0.185186,-1592.982788,336.952301,128.582016
229,0,-0.076775,-0.017206,0.174431,-1549.353516,344.423187,128.435028
230,0,-0.067323,-0.012964,0.166416,-1505.175171,350.733612,128.710983
231,0,-0.064037,-0.011128,0.157749,-1460.603027,357.241333,128.794235
232,0,-0.059923,-0.009402,0.149965,-1415.769653,363.47348,128.693405
233,0,-0.059803,-0.007051,0.143128,-1370.843262,369.539337,128.161438
234,0,-0.058002,-0.011865,0.13495,-1325.551392,375.183044,128.697769
235,0,-0.054146,-0.013252,0.126299,-1279.768311,380.581238,129.43013
236,0,-0.052768,-0.015828,0.120454,-1233.223267,385.494995,129.48378
237,0,-0.051866,-0.014769,0.114701,-1186.095337,390.455963,129.119125
238,0,-0.027359,-0.013947,0.117662,-1137.930176,392.236725,131.279633
239,0,-0.015552,-0.014626,0.107573,-1089.720459,396.716003,132.207687
240,0,-0.017638,-0.017981,0.101555,-1041.108887,401.09494,132.340576
241,0,-0.013013,-0.019071,0.095926,-992.270203,405.146088,132.42453
242,0,-0.012577,-0.01816,0.091574,-942.335083,409.292847,132.51416
243,0,-0.027839,-0.019284,0.092608,-891.468262,412.5578,132.114685
244,0,-0.051567,-0.02757,0.074651,-841.705566,414.068573,133.631119
245,0,-0.046602,-0.031011,0.069458,-790.716431,417.52298,133.850357
246,0,-0.046696,-0.030695,0.065295,-738.389404,420.792053,134.216141
247,0,-0.04728,-0.029946,0.060669,-686.165283,423.745148,134.716507
248,0,-0.040173,-0.029921,0.059125,-633.64386,426.413452,134.865646
249,0,-0.036818,-0.029321,0.055566,-580.573486,429.006409,134.938141
250,0,-0.041305,-0.029505,0.050034,-526.516785,431.712524,134.789536
251,0,-0.043891,-0.030227,0.046163,-472.006409,434.663391,134.996735
252,0,-0.038729,-0.02857,0.043689,-417.134338,436.154541,135.515533
253,0,-0.037182,-0.028464,0.040902,-362.142883,438.216064,135.845352
254,0,-0.03781,-0.031226,0.035679,-305.857391,439.8909,136.028259
255,0,-0.03583,-0.028064,0.030599,-249.692322,441.284576,136.082687
256,0,-0.04094,-0.034388,0.02686,-192.195557,442.753815,136.393524
257,0,-0.045883,-0.033878,0.017557,-133.857697,443.971893,136.314529
258,0,-0.041538,-0.034624,0.013269,-76.153366,444.445129,136.918732
259,0,-0.036861,-0.037802,0.012843,-18.332039,445.264221,137.889481
260,0,-0.042071,-0.039276,0.010177,41.138641,445.465485,138.275146
261,0,-0.043227,-0.038716,0.002137,101.530647,445.217041,138.686859
262,0,-0.035194,-0.037338,0.000887,161.27063,444.554688,139.085907
263,0,-0.02188,-0.032611,0.006342,222.498825,444.40152,138.349258
264,0,-0.020434,-0.031462,-0.002517,283.524994,444.708527,138.91069
265,0,-0.031479,-0.030555,-0.005024,345.943939,443.43042,139.598877
266,0,-0.020897,-0.023569,-0.008838,407.735626,441.478363,139.575333
267,0,-0.019191,-0.024264,-0.016404,470.427887,439.101196,139.825073
268,0,-0.041154,-0.029094,-0.036181,532.923767,437.902191,139.829453
269,0,-0.052655,-0.030408,-0.046067,596.226074,435.905792,140.743958
270,0,-0.053182,-0.030829,-0.069873,658.870605,430.119904,142.537979
271,0,-0.048265,-0.028292,-0.059221,724.250183,428.246277,141.103867
272,0,-0.048045,-0.021987,-0.068427,788.883057,424.049713,141.158096
273,0,-0.053647,-0.016631,-0.075908,853.70282,419.042053,140.890961
274,0,-0.049243,-0.014475,-0.087679,918.371521,413.239349,141.140396
275,0,-0.056044,-0.020478,-0.106111,983.030273,407.280151,141.869293
276,0,-0.055212,-0.016519,-0.117833,1048.355225,400.739349,141.296097
277,0,-0.049708,-0.021469,-0.13534,1113.879517,393.115356,142.165497
278,0,-0.054426,-0.020156,-0.144803,1179.25354,384.595795,142.259262
279,0,-0.051225,-0.011469,-0.15814,1244.505493,375.83194,142.160797
280,0,-0.054952,-0.005825,-0.168798,1309.548218,366.358826,142.414886
281,0,-0.058337,-0.003109,-0.179909,1374.575073,355.844574,142.457291
282,0,-0.062113,-0.003211,-0.193767,1438.684448,344.544891,142.942307
283,0,-0.063101,-0.00345,-0.2102,1502.556885,332.631561,143.565506
284,0,-0.06745,-0.000669,-0.225166,1565.36499,319.744049,143.136322
285,0,-0.076024,0.001203,-0.239172,1629.15625,306.532623,143.375931
286,0,-0.072885,0.005106,-0.24822,1692.596802,292.570892,143.417191
287,0,-0.058947,0.009163,-0.241761,1752.798218,277.330383,145.015488
288,0,-0.056928,0.012934,-0.260087,1815.83728,261.675842,144.939499
289,0,-0.08078,0.006584,-0.301994,1879.301636,245.151215,143.677185
290,0,-0.061991,0.011177,-0.28855,1938.033813,228.176468,145.878983
291,0,-0.063354,0.014446,-0.312039,2001.299561,210.961639,144.962357
292,0,-0.067805,0.007549,-0.335399,2063.627441,192.486771,144.122437
293,0,-0.068753,0.009908,-0.348231,2123.85498,173.15654,144.320145
294,0,-0.073111,0.011511,-0.365945,2183.672363,153.211319,144.540955
295,0,-0.07286,0.010628,-0.379743,2242.587158,132.681488,145.060654
296,0,-0.070691,0.012187,-0.397019,2300.58667,111.413193,145.919724
297,0,-0.071949,0.009629,-0.418558,2358.690918,89.529251,145.860825
298,0,-0.077569,0.010491,-0.439072,2415.452881,67.055916,146.522461
299,0,-0.081661,0.0136,-0.459062,2471.594482,44.075935,146.946335
300,0,-0.083535,0.022752,-0.473368,2527.604004,20.460167,146.771988
301,0,-0.087405,0.027468,-0.493175,2583.082031,-3.914645,146.73111
302,0,-0.085876,0.032574,-0.512836,2637.281982,-28.749189,146.863022
303,0,-0.088563,0.035945,-0.530608,2691.219482,-54.095406,146.368011
304,0,-0.090601,0.03602,-0.557486,2744.241699,-79.855019,146.195877
305,0,-0.08851,0.042975,-0.574654,2797.132324,-105.94413,145.785126
306,0,-0.0929,0.038881,-0.598476,2848.420166,-132.443069,145.747589
307,0,-0.101005,0.038768,-0.627833,2899.022705,-159.881561,145.657791
308,0,-0.099913,0.030366,-0.647909,2947.263672,-187.745346,145.328812
